"","PROVINCIA","ESTADILLO","NUMORDEN","TIPO","DIAMCOPA1","DIAMCOPA2","CORTEZA1","CORTEZA2","CRECIMI1","CRECIMI2","DIAMETR4","DIAMFF","ALTURFF","ALTUPV"
"1611",18,997,1,"1","4.4","4.1","14","15","14","29",NA,"8","3.8","0.5"
"1612",18,997,2,"2","3.4","2.1","11","12","18","17",NA,"8","3.8","2.0"
"1613",18,997,3,"3","4.5","4.0","15","20","18","15",NA,NA,NA,NA
"1614",18,997,4,"4","4.0","4.8","14","18","16","14",NA,"8","3.2","0.1"
"1615",18,1001,1,"1","5.4","4.7","30","35","30","32","16",NA,NA,NA
"1616",18,1001,2,"2","4.9","5.7","40","42","15","14","15",NA,NA,NA
"1617",18,1001,3,"3","3.0","3.1","13","15","11","12","11",NA,NA,NA
"1618",18,1001,4,"4","3.9","4.6","12","20","11","12",NA,NA,NA,NA
"1619",18,1015,1,"1","3.6","3.6","12","16","10","10",NA,"8","3.6","0.1"
"1620",18,1015,2,"2","3.6","3.8","13","15","16","16",NA,"8","3.6","0.1"
"1621",18,1018,1,"1","3.9","3.6","11","11","13","16","9",NA,NA,NA
"1622",18,1018,2,"2","2.6","2.4","9","11","10","10","10",NA,NA,NA
"1623",18,1018,3,"3","4.1","3.6","12","9","11","11","8",NA,NA,NA
"1624",18,1018,4,"4","4.2","4.3","14","13","15","15","11",NA,NA,NA
"1625",18,1019,1,"1","3.6","3.6","16","13","5","5",NA,"8","3.8","2.5"
"1626",18,1019,2,"2","6.5","5.5","32","38","8","10","27",NA,NA,NA
"1627",18,1019,3,"3","3.8","3.4","24","23","5","6","17",NA,NA,NA
"1628",18,1019,4,"4","2.7","3.4","20","18","9","9","8",NA,NA,NA
"1629",18,1021,1,"1","3.0","2.6","18","18","9","9",NA,"8","3.5","0.6"
